State or otherjurisdiction,1968,1970,1972,1976,1979,1980,1981,1988,1991,1992,1994,1996,1997,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Maine,1.4,1.6,1.6,2.3,2.9,3.1,3.35,3.65,3.85,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.75,6.25,6.25,6.35,6.5,6.75,7.0,7.25,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9.0,10.0,12.0,12.0,12.15,12.75,13.8
Maryland,1.0,1.3,1.6,2.2,2.9,3.1,3.35,3.35,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25,8.25,8.75,8.75,10.1,11.0,11.0,11.75,12.5,13.25
Massachusetts,1.6,1.6,1.75,2.1,2.9,3.1,3.35,3.65,3.75,4.25,4.25,4.75,5.25,5.25,6.0,6.75,6.75,6.75,6.75,6.75,6.75,7.5,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,11.0,12.75,12.75,13.5,14.25,15.0
Michigan,1.25,1.25,1.6,2.2,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.95,7.15,7.4,7.4,7.4,7.4,7.4,8.15,8.15,8.5,8.9,9.25,9.65,9.65,9.65,9.87,10.1
Minnesota,1.15,1.15,1.6,1.8,2.3,2.9,3.1,3.55,4.25,4.25,4.25,4.25,4.25,5.15,5.025,5.025,5.025,5.025,5.025,5.025,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,7.25,8.125,8.375,8.625,8.95,9.075,10.0,10.08,10.33,10.59
Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,,,,,,,,,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.5,6.65,7.05,7.25,7.25,7.25,7.35,7.5,7.65,7.65,7.7,7.85,9.45,9.45,10.3,11.15,12.0
Montana,,,1.6,1.8,2.0,2.0,2.0,3.35,3.8,4.25,4.25,4.25,4.75,5.15,4.575,4.575,4.575,4.575,4.575,4.575,4.575,5.075,5.125,5.45,5.625,5.675,5.825,5.9,7.9,8.05,8.05,8.15,8.3,8.65,8.65,8.75,9.2,9.95
Nebraska,1.0,1.0,1.0,1.6,1.6,1.6,1.6,3.35,3.35,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.5
Nevada,1.25,1.3,1.6,2.2,2.75,2.75,2.75,3.35,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.33,6.699999999999999,7.05,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,8.5,9.25,9.5,10.25
New Hampshire,1.4,1.45,1.6,2.25,2.9,3.1,3.35,3.55,3.85,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.5,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
New Jersey,1.4,1.5,1.5,2.2,2.5,3.1,3.35,3.35,3.8,4.25,5.05,5.05,5.05,5.05,5.15,5.15,5.15,5.15,5.15,5.15,6.15,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8.25,8.38,8.38,8.44,8.6,11.0,11.0,12.0,13.0,14.13
New Mexico,1.275,1.4500000000000002,1.4500000000000002,2.0,2.3,2.65,2.9,3.35,3.35,3.35,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,6.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9.0,9.0,10.5,11.5,12.0
New York,1.6,1.6,1.85,2.3,2.9,3.1,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,6.0,6.75,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8.0,8.75,9.0,9.7,10.4,11.8,11.8,12.5,13.2,14.2
North Carolina,1.0,1.25,1.45,2.0,2.5,2.75,2.9,3.35,3.35,3.8,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
North Dakota,1.125,1.225,1.225,2.15,2.2,2.85,2.95,2.95,3.4,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Ohio,1.25,1.25,1.25,1.6,2.3,2.3,2.3,2.3,3.8,4.25,4.25,4.25,4.25,4.25,3.525,3.525,3.525,3.525,3.525,3.525,3.525,6.85,7.0,7.3,7.3,7.4,7.7,7.85,7.6,7.675,7.675,8.15,8.3,8.7,8.7,8.8,9.3,10.1
Oklahoma,1.0,1.0,1.4,1.8,2.0,2.0,3.1,3.35,3.8,4.25,4.25,4.25,4.75,5.15,3.575,3.575,3.575,3.575,3.575,3.575,3.575,3.575,3.925,4.275,4.625,4.625,4.625,4.625,4.625,4.625,4.625,4.625,4.625,4.625,4.625,4.625,4.625,4.625
Oregon,1.25,1.25,1.25,2.3,2.3,2.9,3.1,3.35,4.75,4.75,4.75,4.75,5.5,6.0,6.5,6.5,6.5,6.9,7.05,7.25,7.5,7.8,7.95,8.4,8.4,8.5,8.8,8.95,9.1,9.25,9.75,9.75,10.75,11.25,12.0,12.75,13.5,14.2
