"location","indicator","Unit","Date","Value"
"Alabama","Miscellaneous","Index, High=High cost of living","2022Q2","94.2"
"Alabama","Miscellaneous","Index, High=High cost of living","2022Q3","95.2"
"Alabama","Miscellaneous","Index, High=High cost of living","2023Q1","96.2"
"Alabama","Miscellaneous","Index, High=High cost of living","2023Q2","95.3"
"Alabama","Miscellaneous","Index, High=High cost of living","2023Q3","96"
"Alaska","Cost of Living Index","Index, High=High cost of living","2016","131.6"
"Alaska","Cost of Living Index","Index, High=High cost of living","2017","131.3"
"Alaska","Cost of Living Index","Index, High=High cost of living","2019","128.3"
"Alaska","Cost of Living Index","Index, High=High cost of living","2020","127.3"
"Alaska","Cost of Living Index","Index, High=High cost of living","2021","127.1"
"Alaska","Cost of Living Index","Index, High=High cost of living","2022","126.6"
"Alaska","Cost of Living Index","Index, High=High cost of living","2023","125.2"
"Alaska","Cost of Living Index","Index, High=High cost of living","2017Q1","131.5"
"Alaska","Cost of Living Index","Index, High=High cost of living","2017Q2","130.4"
"Alaska","Cost of Living Index","Index, High=High cost of living","2017Q3","131.9"
"Alaska","Cost of Living Index","Index, High=High cost of living","2018Q1","130.9"
"Alaska","Cost of Living Index","Index, High=High cost of living","2019Q1","45"
"Alaska","Cost of Living Index","Index, High=High cost of living","2019Q2","129.7"
"Alaska","Cost of Living Index","Index, High=High cost of living","2019Q3","127.5"
"Alaska","Cost of Living Index","Index, High=High cost of living","2020Q1","128.4"
"Alaska","Cost of Living Index","Index, High=High cost of living","2020Q3","128"
"Alaska","Cost of Living Index","Index, High=High cost of living","2020Q4","127.8"
"Alaska","Cost of Living Index","Index, High=High cost of living","2021Q1","125.8"
"Alaska","Cost of Living Index","Index, High=High cost of living","2021Q2","126.3"
"Alaska","Cost of Living Index","Index, High=High cost of living","2021Q3","125.7"
"Alaska","Cost of Living Index","Index, High=High cost of living","2022Q1","127.3"
"Alaska","Cost of Living Index","Index, High=High cost of living","2022Q2","126.7"
"Alaska","Cost of Living Index","Index, High=High cost of living","2022Q3","125.5"
"Alaska","Cost of Living Index","Index, High=High cost of living","2023Q1","124.4"
"Alaska","Cost of Living Index","Index, High=High cost of living","2023Q2","125.3"
"Alaska","Cost of Living Index","Index, High=High cost of living","2023Q3","126.4"
"Alaska","Miscellaneous","Index, High=High cost of living","2017","119.2"
"Alaska","Miscellaneous","Index, High=High cost of living","2019","112.7"
